City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Zhanaozen,KZ,2021-01-21 01:37:10,43.3,52.8,22.68,88,96,17.74
67,Ushuaia,AR,2021-01-21 01:37:10,-54.8,-68.3,57.2,51,75,27.63
68,Kruisfontein,ZA,2021-01-21 01:37:10,-34.0033,24.7314,60.01,90,0,1.01
69,Bilibino,RU,2021-01-21 01:37:10,68.0546,166.4372,-25.82,82,100,1.28
70,Taveta,KE,2021-01-21 01:37:10,-3.3963,37.6736,69.58,69,100,3.83
71,Camacari,BR,2021-01-21 01:37:11,-12.6975,-38.3242,78.8,78,75,5.75
72,Aginskoye,RU,2021-01-21 01:37:11,51.1,114.53,2.14,86,28,11.27
73,Duartina,BR,2021-01-21 01:37:11,-22.4144,-49.4039,77.0,78,0,5.75
74,Xinyu,CN,2021-01-21 01:37:11,27.8043,114.9334,59.59,59,3,5.14
75,Vagur,FO,2021-01-21 01:37:11,61.4732,-6.8119,39.09,74,100,36.95
76,Narsaq,GL,2021-01-21 01:37:11,60.9167,-46.05,39.2,20,92,19.57
77,Ust-Nera,RU,2021-01-21 01:37:11,64.5667,143.2,-17.07,71,100,0.6
78,Castlemaine,AU,2021-01-21 01:37:11,-37.0667,144.2167,93.99,45,45,1.01
79,Yellowknife,CA,2021-01-21 01:33:26,62.456,-114.3525,3.2,78,90,8.05
80,Torbay,CA,2021-01-21 01:34:41,47.6666,-52.7314,28.0,74,90,21.85
81,Pampierstad,ZA,2021-01-21 01:37:12,-27.7832,24.6877,72.99,54,1,0.83
82,Asosa,ET,2021-01-21 01:37:12,10.0667,34.5333,61.02,46,0,6.91
83,Touros,BR,2021-01-21 01:37:12,-5.1989,-35.4608,78.8,83,40,8.05
84,Hamilton,US,2021-01-21 01:32:33,39.1834,-84.5333,32.0,64,1,5.75
85,Sanchor,IN,2021-01-21 01:37:12,24.7553,71.7722,56.41,36,0,6.29
86,Ushtobe,KZ,2021-01-21 01:37:12,45.2514,77.9838,29.32,96,100,8.95
87,Paita,PE,2021-01-21 01:37:13,-5.0892,-81.1144,73.13,75,95,12.19
88,Dunedin,NZ,2021-01-21 01:37:13,-45.8742,170.5036,55.99,73,100,21.99
89,Shambu,ET,2021-01-21 01:37:13,9.5667,37.1,50.85,60,51,1.7
90,Barrow,US,2021-01-21 01:35:02,71.2906,-156.7887,-11.2,77,1,10.36
91,Airai,TL,2021-01-21 01:34:22,-8.9266,125.4092,73.81,79,25,3.42
92,Santa Cruz,BO,2021-01-21 01:35:31,-17.8,-63.1667,75.2,78,75,2.3
93,Camacha,PT,2021-01-21 01:37:13,33.0833,-16.3333,60.8,88,75,10.76
94,Port Alfred,ZA,2021-01-21 01:37:14,-33.5906,26.891,63.0,89,2,3.0
95,Benjamin Aceval,PY,2021-01-21 01:37:14,-24.9667,-57.5667,82.4,74,20,3.11
96,Grindavik,IS,2021-01-21 01:37:14,63.8424,-22.4338,32.0,74,75,21.85
97,Saskylakh,RU,2021-01-21 01:37:14,71.9167,114.0833,-38.04,80,94,1.9
98,Salalah,OM,2021-01-21 01:36:17,17.0151,54.0924,68.0,37,0,2.3
99,Marsh Harbour,BS,2021-01-21 01:34:56,26.5412,-77.0636,68.97,56,0,9.17
100,Ilulissat,GL,2021-01-21 01:37:15,69.2167,-51.1,19.4,63,54,1.14
101,Broome,US,2021-01-21 01:37:15,42.2506,-75.833,19.0,73,75,3.44
102,Sao Filipe,CV,2021-01-21 01:37:15,14.8961,-24.4956,71.94,66,99,10.6
103,Zhicheng,CN,2021-01-21 01:37:15,30.2956,111.5047,46.0,76,100,1.39
104,Salinopolis,BR,2021-01-21 01:37:15,-0.6136,-47.3561,76.64,86,97,6.78
105,Kabalo,CD,2021-01-21 01:37:15,-6.05,26.9167,70.12,96,100,1.68
106,Vao,NC,2021-01-21 01:37:16,-22.6667,167.4833,75.97,75,78,14.16
107,Voznesenye,RU,2021-01-21 01:37:16,61.0106,35.4781,9.64,94,89,2.77
108,Shellbrook,CA,2021-01-21 01:37:16,53.2168,-106.4011,24.8,74,90,21.85
109,Caldwell,US,2021-01-21 01:34:48,43.6629,-116.6874,37.0,75,75,6.91
110,Saint-Philippe,RE,2021-01-21 01:37:16,-21.3585,55.7679,80.6,74,0,6.91
111,Ambovombe,MG,2021-01-21 01:37:17,-25.1667,46.0833,74.64,90,3,2.35
112,Esperance,AU,2021-01-21 01:37:17,-33.8667,121.9,69.8,83,40,12.66
113,Oksovskiy,RU,2021-01-21 01:37:17,62.6062,39.8984,-2.9,91,100,3.56
114,Male,MV,2021-01-21 01:37:17,4.1748,73.5089,80.6,83,40,4.61
115,Turka,UA,2021-01-21 01:37:17,49.1541,23.0297,39.0,80,74,14.0
116,Carnarvon,AU,2021-01-21 01:37:17,-24.8667,113.6333,80.6,78,0,21.85
117,Bathsheba,BB,2021-01-21 01:37:18,13.2167,-59.5167,77.0,73,40,16.11
118,Viedma,AR,2021-01-21 01:37:18,-40.8135,-62.9967,79.41,40,0,10.22
119,Upernavik,GL,2021-01-21 01:34:35,72.7868,-56.1549,32.72,89,100,9.75
120,Klamath Falls,US,2021-01-21 01:32:37,42.2249,-121.7817,41.0,45,1,3.44
121,Sitka,US,2021-01-21 01:37:18,57.0531,-135.33,37.4,93,90,1.81
122,Manokwari,ID,2021-01-21 01:37:18,-0.8667,134.0833,82.65,70,86,3.89
123,Staryy Nadym,RU,2021-01-21 01:37:19,65.6118,72.6842,-21.8,85,100,13.82
124,Senno,RU,2021-01-21 01:37:19,59.5336,33.9167,7.12,94,100,4.56
125,Shenjiamen,CN,2021-01-21 01:37:19,29.9576,122.298,56.52,88,3,8.97
126,Chambery,FR,2021-01-21 01:37:19,45.5667,5.9333,53.6,40,0,11.5
127,Bubaque,GW,2021-01-21 01:34:46,11.2833,-15.8333,77.65,62,76,6.62
